iter	Passed	Remaining
898	104844	11779
899	104948	11660
900	105055	11543
901	105161	11425
902	105270	11308
903	105380	11190
904	105488	11073
905	105597	10956
906	105709	10839
907	105820	10721
908	105949	10606
909	106070	10490
910	106193	10374
911	106319	10258
912	106447	10143
913	106569	10027
914	106692	9911
915	106809	9794
916	106923	9677
917	107032	9560
918	107143	9443
919	107250	9326
920	107356	9208
921	107479	9092
922	107600	8976
923	107709	8859
924	107824	8742
925	107927	8624
926	108033	8507
927	108140	8390
928	108245	8272
929	108357	8155
930	108463	8038
931	108573	7921
932	108679	7804
933	108782	7687
934	108894	7570
935	108999	7452
936	109104	7335
937	109212	7218
938	109329	7102
939	109463	6987
940	109600	6871
941	109736	6756
942	109871	6641
943	109996	6525
944	110108	6408
945	110228	6292
946	110347	6175
947	110465	6059
948	110596	5943
949	110716	5827
950	110834	5710
951	110946	5593
952	111059	5477
953	111168	5360
954	111280	5243
955	111387	5126
956	111510	5010
957	111642	4894
958	111755	4777
959	111869	4661
960	111984	4544
961	112098	4427
962	112213	4311
963	112331	4194
964	112443	4078
965	112556	3961
966	112669	3844
967	112784	3728
968	112892	3611
969	113002	3494
970	113108	3378
971	113218	3261
972	113329	3144
973	113436	3028
974	113543	2911
975	113654	2794
976	113758	2678
977	113863	2561
978	113971	2444
979	114082	2328
980	114191	2211
981	114306	2095
982	114418	1978
983	114530	1862
984	114643	1745
985	114776	1629
986	114899	1513
987	115020	1397
988	115137	1280
989	115253	1164
990	115366	1047
991	115476	931
992	115585	814
993	115700	698
994	115813	581
995	115921	465
996	116030	349
997	116137	232
998	116249	116
999	116363	0
